"full_address","phone","type"
"Ctra Villalpando Km 2, 49029, Zamora, Zamora, España","980 535 344","Oficial"
"Mercazaragoza calle A Carretera Cogullada 65, 50014, Zaragoza, , España","976 737 136","Oficial"
"Pino, 38-Bajo, 36206, Vigo, Pontevedra, España","986 263 022","Oficial"
"Callejón de la Alcoholera. Nave 1 (Co. Viejo de Simancas), 47008, Valladolid, Valladolid, España","983 275 300","Oficial"
"Calle Barrio San José s/n. Nave F, 4, 46185, Puebla de Vallbona, Valencia, España","962 760 128","Oficial"
"Maestros Espaderos s/n (bajos P. San Ildefonso), 45004, Toledo, Toledo, España","925 256 697","Oficial"
"Los Enebros 74 2ª planta Edificio Galileo, 44002, Teruel, Teruel, España","978623077","Oficial"
"Escultor Rocamora, 14-16 Bajos, 43204, Reus, Tarragona, España","977 757 444","Oficial"
"Mercatenerife. Complejo D Nave 5 Polígono Industrial El Mayorazgo, 38110, Santa Cruz de Tenerife, Sta. Cruz de Tenerfe, España","922 226 497","Oficial"
"P. Marqués Contadero s/n, 41001, Sevilla, Sevilla, España","954 219 311","Oficial"
"c/Los Betetas 10  1ºA, 42002, Soria, Soria, España","915615775","Oficial"
"Apdo. Correos, 203. Carreter de Aervalo Km. 3. Dependencias del Silo, 40080, Segovia, Segovia, España","921 433 428","Oficial"
"Fernando de los Ríos, 65-Bajo, 39006, Santander, Cantabria, España","942 314 468","Oficial"
"Sumatra, 18 (Esq. Nueva Guinea), 37003, Salamanca, Salamanca, España","923 185 974","Oficial"
"Calle Elbarrena. Polígono Lambarren. Pabellón 2, 20180, Oyarzun, Guipúzcoa, España","943 493 796","Oficial"
"Campo de Fútbol ""el Toralin"". Local 5, 24400, Ponferrada, León, España","987 419 516","Oficial"
"Cardenal Rosell, 182. Mercapalma. Local 9, 07007, Palma de Mallorca, Islas Baleares, España","971 408 100","Oficial"
"c/de las Islas Canarias Nº 21 
Polígono Industrial, 34004, Palencia, Palencia, España","979 100 212","Oficial"
"Urbanización Montealegre, 13D, 32710, Pereiro de Aguiar, Orense, España","988 242 344","Oficial"
"Apdo. Correos, 4273., 31080, Pamplona, Navarra, España","948 303 816","Oficial"
"c/Dulcinea 7 (Barrio san Basilio), 30009, MURCIA, MURCIA, ","

 <!--
 var prefix = '&#109;a' + 'i&#108;' + '&#116;o';
 var path = 'hr' + 'ef' + '=';
 var addy76426 = 'b&#97;nc&#111;d&#101;&#97;l&#105;m&#101;nt&#111;sd&#101;ls&#101;g&#117;r&#97;' + '&#64;';
 addy76426 = addy76426 + 'gm&#97;&#105;l' + '&#46;' + 'c&#111;m';
 document.write('<a ' + path + '\'' + prefix + ':' + addy76426 + '\'>');
 document.write(addy76426);
 document.write('<\/a>');
 //-->\n 
 <!--
 document.write('<span style=\'display: none;\'>');
 //-->
 Esta dirección de correo electrónico está siendo protegida contra los robots de spam. Necesita tener JavaScript habilitado para poder verlo.
 
 <!--
 document.write('</');
 document.write('span>');
 //-->
 ","Oficial"
"Calle Joaquín Turina, 6. El Bohio, 30310, Cartagena, Murcia, España","968 500 420","Oficial"
"Almacén.- 10.00-13.30 c/Arquitecto Pacheco Antón García. Barª Las Palmeras, 52006, Melilla, Melilla, España","652 685 825 y 952.685.516","Oficial"
"C/ Escritora Jertrudis Gómez de Avellaneda, 1. Polg. Trevenez, 29196, Campanillas, Málaga, España","952 179 579","Oficial"
"Ctra. Colmenar Viejo Km.13.600 (Col. San Fernando)., 28049, Madrid, Madrid, España","917 346 383","Oficial"
"Perpetuo Socorro, 44-4A, 27004, Lugo, Lugo, España","982 254 631","Oficial"
"Calle Calahorra, 2. Pabellón 9. Varea, 26006, Logroño, La Rioja, España","941 254 491","Oficial"
"Polígono Industrial El Segre
c/Avda Enginyer Pau Agustí 303-B  N.2A, 25191, Lérida, Lérida, España","973 257 612","Oficial"
"Santo Tirso, 18- 4D, 24006, León, León, España","987 214 405","Oficial"
"Av. de Granada s/n (Caseta Municipal - Junto C. Transeuntes), 23001, Jaén, Jaén, España","953 190 656","Oficial"
"Berdigón, 29. Bajo Izda, 21003, Huelva, Huelva, España","959 251 028","Oficial"
"Nave en parcela 12,4 de Mercalaspalmas. Marzagán, 35229, Las Palmas de Gran Canaria, Las Palmas, España","928 709 997","Oficial"
"Calle Gustavo Adólfo Béquer, 6. Local 5, 19004, Guadalajara, Guadalajara, España","949 208 154","Oficial"
"Ctra. Córdoba s/n. Mercagranada, 18015, Granada, Granada, España","958 289 406","Oficial"
"Calle Rutla, 20-22. Hotel de Entidades, 17002, Gerona, Gerona, España","972 223 463","Oficial"
"Calle Poniente, 1 (Antiguo Silo), 16190, Chillarón de Cuenca, Cuenca, España","969 273 354","Oficial"
"Frigorífica Botana SL Muelle San Diego s/n, 15006 , La Coruña, La Coruña, España","981 296 981 y 665 684 562","Oficial"
"Avda. de las Lonjas s/n Mercacórdoba - Mercado Poliv-Mod. 1, 13001, Córdoba, Córdoba, España","957 751 070","Oficial"
"Calle Toledo 8-2. Edificio Miró. Despacho 6, 13001, Ciudad Real, Ciudad Real, España","926 274 070","Oficial"
"Avda. de Barcelona Nº 6H, 51001, Ceuta, Ceuta, España","956505038  Mov 658805778","Oficial"
"c/Pelayo Nº 16 Bajos, 12006, Castellón, Castellón, España","964 241 029","Oficial"
"Avda. de la Unión, 13 Polig. Industrial Cortijo Real, 11206, Algeciras, Cádiz, España","956 603 360","Oficial"
"Chiclana s/n. Zona Franca, 11011, Cádiz, Cádiz, España","956 205 151","Oficial"
"Pza. 1 de Mayo s/n (Aldea Moret), 10195, Cáceres, Cáceres, España","927 233 576","Oficial"
"Ctra Madrid-Irún Km 244, 09007, Burgos, Burgos, España","947 294 660","Oficial"
"Avda. de Cervantes, 49. Módilo 7 Planta Baja, 48970, Basauri, Vizcaya, España","944 499 258","Oficial"
"Calle Motors, 122, 08040, Barcelona, Barcelona, España","933 464 404","Oficial"
"Ctra. de Campo Mayor, s/n. Silo de Badajoz P.I. El Nevero, 06006, Badajoz, Badajoz, España","924 259 803","Oficial"
"Calle Cristo Luz, 1. Bajo Izquierda, 05001, Ávila, Ávila, España","920 257 803","Oficial"
"Polígono Industrial Puente Nora calle A Nº 12, 33420, Lugones (Siero), Asturias, España","985 115 860","Oficial"
"Becolarra, 4-Pabellón 12, 01010, Vitoria, Álava, España","945 213 233","Oficial"
"Calle Ribadesella, 5 -  Apdo. Correos 476, 04470, Roquetas de Mar, Almería, España","950 345 947 ","Oficial"
"Mercalicante-Polivalente 2 no. 234-242 Crta. de Madrid, Km.4, 03007, Alicante, Alicante, España","965 114 900","Oficial"
"Apdo. de Correos, 335, 11226, Algeciras, Cádiz, España","","Oficial"
"Ctra. de Murcia Km.2 (Lonja Municipal), 02006, Albacete, Albacete, España","967 244 752","Oficial"
"Carretera Colmenar Viejo, KM 12,800 (Ciudad Escolar)
, 28049, Madrid, Madrid, España","917356390","Oficial"
